Title
Kansas Saloon Smashers
Love by the Light of the Moon
The Martyred Presidents
"Terrible Teddy, the Grizzly King"
Jack and the Beanstalk
Alice in Wonderland
The Great Train Robbery
The Suburbanite
The Little Train Robbery
The Night Before Christmas
Dream of a Rarebit Fiend
From Leadville to Aspen: A Hold-Up in the Rockies
Kathleen Mavourneen
Daniel Boone
How Brown Saw the Baseball Game
Laughing Gas
The Adventures of Dollie
The Black Viper
A Calamitous Elopement
The Call of the Wild
A Christmas Carol
The Fight for Freedom
At the Altar
A Drunkard's Reformation
The Golden Louis
The Lure of the Gown
An Arcadian Maid
A Christmas Carol
Frankenstein
"Hemlock Hoax, the Detective"
The House with Closed Shutters
A Lad from Old Ireland
Pocahontas
Ramona
What the Daisy Said
The Wonderful Wizard of Oz
Baseball and Bloomers
The Black Arrow: A Tale of the Two Roses
Brown of Harvard
For Her Sake
David Copperfield
The Pasha's Daughter
Sweet Memories
The Deserter
Dr. Jekyll and Mr. Hyde
The Land Beyond the Sunset
The Musketeers of Pig Alley
The New York Hat
Petticoat Camp
Put Yourself in His Place
An Unseen Enemy
Atlantis
Barney Oldfield's Race for a Life
Bob's Baby
Cohen Saves the Flag
Dr. Jekyll and Mr. Hyde
The Evidence of the Film
The Face at the Window
The Quakeress
The Restless Spirit
The Telephone Girl and the Lady
The Avenging Conscience
The Battle of the Sexes
Between Showers
Brewster's Millions
A Busy Day
The Call of the North
Captain Alvarez
Caught in a Cabaret
Caught in the Rain
Cinderella
"Cruel, Cruel Love"
Dough and Dynamite
The Escape
A Film Johnnie
A Florida Enchantment
Gentlemen of Nerve
Getting Acquainted
His Father's Rifle
"His Majesty, the Scarecrow of Oz"
Charlie Chaplin
"Home, Sweet Home"
Imar the Servitor
In the Land of the Head Hunters
The Knockout
Laughing Gas
Mabel at the Wheel
Mabel's Blunder
Mabel's Married Life
Mabel's Strange Predicament
Making a Living
The Masquerader
Neptune's Daughter
The New Janitor
The Perils of Pauline
The Property Man
Recreation
Rose of the Rancho
The Rounders
Salomy Jane
Should a Woman Divorce?
The Squaw Man
Sweet and Low
Those Love Pangs
Tillie's Punctured Romance
The Wrath of the Gods
After Five
Anna Karenina
Birth of a Nation
The Bluffers
The Captive
Carmen
The Champion
The Cheat
Chimmie Fadden Out West
Enoch Arden
A Fool There Was
Four Feathers
Fresh from the Farm
Giving Them Fits
Inspiration
The Italian
"Love, Loot and Crash"
Pool Sharks
The Raven
The Soul of Broadway
The Toast of Death
The Tramp
The Warrens of Virginia
Work
"20,000 Leagues Under the Sea"
The Abandonment
The Aryan
The Bondman
Civilization
A Daughter of the Gods
Divorce and the Daughter
Fatty and Mabel Adrift
The Fireman
Hell's Hinges
Hoodoo Ann
Hulda from Holland
Joan the Woman
Lights of New York
Lonesome Luke Leans to the Literary
Madame X
The Man Who Would Not Die
Manhattan Madness
One A.M.
The Other Side of the Door
Sherlock Holmes
The Soul's Cycle
The Stepping Stone
Under Two Flags
Where Are My Children?
Youth's Endearing Charm
All Aboard
The Bad Boy
Bucking Broadway
The Butcher Boy
Camille
Cheyenne's Pal
Cleopatra
The Devil-Stone
Easy Street
Enlighten Thy Daughter
Golden Rule Kate
Great Expectations
The Gulf Between
Her Right to Live
His Wedding Night
The Immigrant
"In Again, Out Again"
The Jury of Fate
The Little American
The Little Princess
The Man Without a Country
The Mate of the Sally Ann
A Modern Musketeer
Oh Doctor!
"Peggy, the Will O' the Wisp"
The Poor Little Rich Girl
Reaching for the Moon
Rebecca of Sunnybrook Farm
A Reckless Romeo
The Rough House
Souls in Pawn
Straight Shooting
A Strange Transgressor
Wild and Woolly
The Woman God Forgot
All Woman
Amarilly of Clothes-Line Alley
Are Crooks Dishonest?
Arizona
Beauty and the Rogue
"Believe Me, Xantippe"
The Bell Boy
The Blue Bird
