,spotify_album_id,derived_album_id,album_name
69,spotify:album:4PgleR09JVnm3zY1fW3XBA,album0069,24K Magic
70,spotify:album:4w6KUt7eyD4paTTNctylCS,album0070,Unorthodox Jukebox (Deluxe Edition)
71,spotify:album:7KBjLhk3IM27k3ry4vBk3i,album0071,Unorthodox Jukebox
72,spotify:album:3rVtm00UfbuzWOewdm4iYM,album0072,‘The ReVe Festival’ Finale
73,spotify:album:5zWa1ZEUBctbKqvwXbFawo,album0073,Summer Magic - Summer Mini Album
74,spotify:album:0OkJThJls8FO1lutMzMDJ0,album0074,The Perfect Red Velvet - The 2nd Album Repackage
75,spotify:album:7n23fjZTviIUnHyvZGQjni,album0075,The Melodic Blue
76,spotify:album:3r46DPIQeBQbjvjjV5mXGg,album0076,The Melodic Blue
77,spotify:album:7Cw4LObzgnVqSlkuIyywtI,album0077,DIE FOR MY BITCH
78,spotify:album:3cbcpRK1paF6lAxd16cmIE,album0078,World War Joy (Japan Edition)
79,spotify:album:01GR4NL5O5CZM51k0aejKD,album0079,World War Joy
80,spotify:album:1AVNEke0ElkA1cekT0a1vO,album0080,Sick Boy (Special Edition)
81,spotify:album:7kUuNU2LRmr9XbwLHXU9UZ,album0081,The Lion King: The Gift [Deluxe Edition]
82,spotify:album:46356QHIb3lRX1M7SLydKF,album0082,The Lion King: The Gift [Deluxe Edition]
83,spotify:album:552zi1M53PQAX5OH4FIdTx,album0083,The Lion King: The Gift
84,spotify:album:7fZKtzZAsfH0kzeTivu5TG,album0084,Slime & B
85,spotify:album:4ZfPehLCNr9bxpugRRiUyM,album0085,Slime & B
86,spotify:album:3okhA6w5uau6ZNhnVpwVww,album0086,Indigo (Extended)
87,spotify:album:1gMxiQQSg5zeu4htBosASY,album0087,Made In The A.M. (Deluxe Edition)
88,spotify:album:4gCNyS7pidfK3rKWhB3JOY,album0088,FOUR (Deluxe)
89,spotify:album:7p1fX8aUySrBdx4WSYspOu,album0089,Midnight Memories (Deluxe)
90,spotify:album:01q5k781PdqqKUWFizFjjh,album0090,My House
91,spotify:album:4JNNzzCbe4Y6MKQV2lVXgr,album0091,My House
92,spotify:album:5lkNnHVlnCCCV304t89wOH,album0092,My House
93,spotify:album:76j8Cihag4ps0oykYSo0Bc,album0093,FOR CERTAIN (Deluxe)
94,spotify:album:6pSac018rEhF0hCL45NyJE,album0094,FOR CERTAIN (Deluxe)
95,spotify:album:5B857SgrQIAmcJGj0sFOSg,album0095,FOR CERTAIN
96,spotify:album:6hBQkPnq5u1BwZncSEDEgs,album0096,Love For Sale (Deluxe)
97,spotify:album:3OevODyllQCrhudfLLnV3y,album0097,Dawn Of Chromatica
98,spotify:album:6Yf9kML4wT3opmXhTUIfk7,album0098,BORN THIS WAY THE TENTH ANNIVERSARY
99,spotify:album:4JAvwK4APPArjIsOdGoJXX,album0099,The Off-Season
100,spotify:album:7amgMBFiedsknMot03NgQ4,album0100,The Off-Season
