42323,Answer Me,spotify:track:6BDNbxliKcZRgjHTe6i0L2,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,16,160529,memphis soul,7/30/2021,2.68,song34767,87CF,song87CF,161,02:41
42324,Always,spotify:track:1HABcml7xZJtASAtzVfwCo,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:58h9tw6Y4ckpcZT1q7cIu8,The Temptations: Beginnings,17,165499,soul,7/30/2021,2.76,song34768,87D0,song87D0,165,02:45
42325,My Girl,spotify:track:1kqMZq4BBytdA25pRvEkBd,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",1,177005,memphis soul,1/20/2021,2.95,song34769,87D1,song87D1,177,02:57
42326,The Way You Do the Things You Do,spotify:track:5wfke3UKuBXUJ6sn3GLiP8,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",2,159164,funk,1/20/2021,2.65,song34770,87D2,song87D2,159,02:39
42327,You've Got to Earn It,spotify:track:1bb3GBgMT1zmZytBTZFiqi,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",3,160522,memphis soul,1/20/2021,2.68,song34771,87D3,song87D3,161,02:41
42328,It's Growing,spotify:track:34XYidZa2deY81yTySlCvR,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",4,179408,memphis soul,1/20/2021,2.99,song34772,87D4,song87D4,179,02:59
42329,What Love Has Joined Together,spotify:track:24ZmbjNNFdFWsnJuVIhloO,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",5,177005,funk,1/20/2021,2.95,song34773,87D5,song87D5,177,02:57
42330,I'll Be in Trouble,spotify:track:6OdCjkVaOyP5uHwtW8f1jC,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",6,174759,motown,1/20/2021,2.91,song34774,87D6,song87D6,175,02:55
42331,Who's Lovin' You,spotify:track:7JF9mYFoxCy0TN6UwiL0cG,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",7,177737,classic soul,1/20/2021,2.96,song34775,87D7,song87D7,178,02:58
42332,The Girl's Alright with Me,spotify:track:4J7x9a8RAQw9DJkLMUJN9C,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",8,175490,memphis soul,1/20/2021,2.92,song34776,87D8,song87D8,175,02:55
42333,Get Ready,spotify:track:7EENDrgvU2tazdP8GJmoZq,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",9,158902,funk,1/20/2021,2.65,song34777,87D9,song87D9,159,02:39
42334,Nobody but You,spotify:track:0CfxvbwTkfLpelf83aMMnS,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",10,144222,classic soul,1/20/2021,2.4,song34778,87DA,song87DA,144,02:24
42335,Don't Look Back,spotify:track:1JJiAZkt9jipIngZZD74vX,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",11,175360,classic soul,1/20/2021,2.92,song34779,87DB,song87DB,175,02:55
42336,Ol' Man River,spotify:track:5QY0i1p6I1ivBoSKkjg9dQ,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",12,290925,motown,1/20/2021,4.85,song34780,87DC,song87DC,291,04:51
42337,Since I Lost My Baby,spotify:track:59E9nefhTz1txb3NshtzbR,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",13,170893,classic soul,1/20/2021,2.85,song34781,87DD,song87DD,171,02:51
42338,My Baby,spotify:track:7pVQ75IRawVuG7E8L9gzGb,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",14,178494,classic soul,1/20/2021,2.97,song34782,87DE,song87DE,178,02:58
42339,Don't Let the Joneses Get You Down,spotify:track:03aBVlIEvXxC9pfd1D53Ss,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",15,285962,motown,1/20/2021,4.77,song34783,87DF,song87DF,286,04:46
42340,Ain't Too Proud to Beg,spotify:track:4iIsvVZ6ApsRYfH7SKgrPh,spotify:artist:3RwQ26hR2tJtA8F9p2n7jG,The Temptations,spotify:album:11L983u6REAoN3F5MFnzxp,"Solid Gold Temptations, Vol. 1",16,154122,classic soul,1/20/2021,2.57,song34784,8.70E+01,song87E0,154,02:34
42341,Di,spotify:track:6GrQNHclkRlHzKEBShQbQ3,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,1,178266,regional mexican,2/26/2021,2.97,song34785,8.70E+02,song87E1,178,02:58
42342,Para QuÃ© Me Las Diste,spotify:track:696hnd0hkkNDI3wMgW2O8j,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,2,214133,banda,2/26/2021,3.57,song34786,8.70E+03,song87E2,214,03:34
42343,Mujer Moderna,spotify:track:5lYrd6LyQFfJ1F4KCDLEst,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,3,158520,ranchera,2/26/2021,2.64,song34787,8.70E+04,song87E3,159,02:39
42344,La Baraja,spotify:track:2xoSwxrXVJtA8aCl225WQr,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,4,175186,ranchera,2/26/2021,2.92,song34788,8.70E+05,song87E4,175,02:55
42345,Cuando No Te ConocÃ­a,spotify:track:2vgU1VIdgf8mi5GP7w0e3Z,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,5,201506,nuevo regional mexicano,2/26/2021,3.36,song34789,8.70E+06,song87E5,202,03:22
42346,Vivir La Vida,spotify:track:5vELhlTajEjglTEwGp8WAI,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,6,177133,banda,2/26/2021,2.95,song34790,8.70E+07,song87E6,177,02:57
42347,Cuando Me Importabas,spotify:track:2SbrBJ7ueAZ4iGYHTf21HU,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,7,202146,banda,2/26/2021,3.37,song34791,8.70E+08,song87E7,202,03:22
42348,Como En Los Viejos Tiempos,spotify:track:0iyy9zj0hPf1UkDWdZdOQI,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,8,155213,ranchera,2/26/2021,2.59,song34792,8.70E+09,song87E8,155,02:35
42349,Ponle Que SÃ­,spotify:track:2MViucn04mANEpbKRh5p4D,spotify:artist:4bPiOPI4V99cepEftvBYak,Banda Los Recoditos,spotify:album:79Tqv63Tf1JyKL7jHUhwXF,Vivir La Vida,9,247920,regional mexican,2/26/2021,4.13,song34793,8.70E+10,song87E9,248,04:08
