,spotify_artist_id,derived_artist_id,artist_name
76,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,artist076,Tiësto
77,spotify:artist:4r63FhuTkUYltbVAg5TQnk,artist077,DaBaby
78,spotify:artist:07YUOmWljBTXwIseAUd9TW,artist078,Sebastian Yatra
79,spotify:artist:6M2wZ9GZgrQXHCFfjv46we,artist079,Dua Lipa
80,spotify:artist:50co4Is1HCEo8bhOyUWKpn,artist080,Young Thug
81,spotify:artist:1xr2G8Hlx4QWmT9HaUbmoO,artist081,Young Stoner Life
82,spotify:artist:4xRYI6VqpkE3UwrDrAZL8L,artist082,Logic
83,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k,artist083,Mustard
84,spotify:artist:7vk5e3vY1uw9plTHJAMwjN,artist084,Alan Walker
85,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,artist085,Fall Out Boy
86,spotify:artist:5fMUXHkw8R8eOP2RNVYEZX,artist086,Diplo
87,spotify:artist:4qXC0i02bSFstECuXP2ZpL,artist087,Blxst
88,spotify:artist:0hEurMDQu99nJRq8pTxO14,artist088,John Mayer
89,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,artist089,Metallica
90,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,artist090,J Balvin
91,spotify:artist:3JhNCzhSMTxs9WLGJJxWOY,artist091,Macklemore
92,spotify:artist:1KCSPY1glIKqW2TotWuXOR,artist092,P!nk
93,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81,artist093,ZAYN
94,spotify:artist:1AhjOkOLkbHUfcHDSErXQs,artist094,88rising
95,spotify:artist:540vIaP2JwjQb9dm3aArA4,artist095,DJ Snake
96,spotify:artist:4LLpKhyESsyAXpc4laK94U,artist096,Mac Miller
97,spotify:artist:5JZ7CnR6gTvEMKX4g70Amv,artist097,Lauv
98,spotify:artist:5cj0lLjcoR7YOSnhnX0Po5,artist098,Doja Cat
99,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,artist099,Pop Smoke
100,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,artist100,James Arthur
101,spotify:artist:2qxJFvFYMEDqd7ui6kSAcq,artist101,Zedd
102,spotify:artist:3e7awlrlDSwF3iM0WBjGMp,artist102,Little Mix
103,spotify:artist:711MCceyCBcFnzjGY4Q7Un,artist103,AC/DC
104,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,artist104,Lil Peep
105,spotify:artist:5Rl15oVamLq7FbSb0NNBNy,artist105,5 Seconds of Summer
106,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax,artist106,Trippie Redd
107,spotify:artist:31W5EY0aAly4Qieq6OFu6I,artist107,A Boogie Wit da Hoodie
108,spotify:artist:46SHBwWsqBkxI7EeeBEQG7,artist108,Kodak Black
109,spotify:artist:33W1pnW9zScZtYTnAoWnOT,artist109,Mr. Probz
110,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,artist110,NF
111,spotify:artist:31TPClRtHm23RisEBtV3X7,artist111,Justin Timberlake
112,spotify:artist:7oPftvlwr6VrsViSDV7fJY,artist112,Green Day
113,spotify:artist:1MrEurzLcL8ugfP1PrUPWG,artist113,Billie Joe Armstrong
114,spotify:artist:0QHgL1lAIqAw0HtD7YldmP,artist114,DJ Khaled
115,spotify:artist:2h93pZq0e7k5yf4dywlkpM,artist115,Frank Ocean
116,spotify:artist:1Xylc3o4UrD53lo9CvFvVg,artist116,Zara Larsson
117,spotify:artist:5lwmRuXgjX8xIwlnauTZIP,artist117,Romeo Santos
118,spotify:artist:4DdkRBBYG6Yk9Ka8tdJ9BW,artist118,Offset
119,spotify:artist:1URnnhqYAYcrqrcwql10ft,artist119,21 Savage
120,spotify:artist:6MDME20pz9RveH9rEXvrOM,artist120,Clean Bandit
121,spotify:artist:2QsynagSdAqZj3U9HgDzjD,artist121,Bob Marley & The Wailers
122,spotify:artist:1zNqDE7qDGCsyzJwohVaoX,artist122,Anne-Marie
123,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,artist123,Lil Nas X
124,spotify:artist:64M6ah0SkkRsnPGtGiRAbb,artist124,Bebe Rexha
125,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,artist125,Lewis Capaldi
126,spotify:artist:7qG3b048QCHVRO5Pv1T5lw,artist126,Enrique Iglesias
127,spotify:artist:2nszmSgqreHSdJA3zWPyrW,artist127,Luis Miguel
128,spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,artist128,"Tyler, The Creator"
129,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,artist129,Pink Floyd
130,spotify:artist:1yxSLGMDHlW21z4YXirZDS,artist130,Black Eyed Peas
131,spotify:artist:4V8Sr092TqfHkfAA5fXXqG,artist131,Luis Fonsi
