post-teen pop,15,2021-01-21
rap,38,2021-01-21
rock,37,2021-01-21
contemporary country,15,2021-01-22
dance pop,45,2021-01-22
hip hop,16,2021-01-22
latin,22,2021-01-22
modern rock,14,2021-01-22
pop,82,2021-01-22
pop rap,22,2021-01-22
post-teen pop,15,2021-01-22
rap,49,2021-01-22
rock,37,2021-01-22
contemporary country,14,2021-01-23
dance pop,53,2021-01-23
hip hop,13,2021-01-23
latin,16,2021-01-23
modern rock,11,2021-01-23
pop,77,2021-01-23
pop rap,15,2021-01-23
post-teen pop,19,2021-01-23
rap,26,2021-01-23
rock,38,2021-01-23
contemporary country,12,2021-01-24
dance pop,43,2021-01-24
hip hop,16,2021-01-24
latin,23,2021-01-24
modern rock,16,2021-01-24
pop,78,2021-01-24
pop rap,26,2021-01-24
post-teen pop,10,2021-01-24
rap,29,2021-01-24
rock,35,2021-01-24
contemporary country,18,2021-01-25
dance pop,49,2021-01-25
hip hop,16,2021-01-25
latin,18,2021-01-25
modern rock,23,2021-01-25
pop,88,2021-01-25
pop rap,29,2021-01-25
post-teen pop,16,2021-01-25
rap,25,2021-01-25
rock,34,2021-01-25
contemporary country,14,2021-01-26
dance pop,50,2021-01-26
hip hop,18,2021-01-26
latin,11,2021-01-26
modern rock,13,2021-01-26
pop,79,2021-01-26
pop rap,22,2021-01-26
post-teen pop,17,2021-01-26
rap,29,2021-01-26
rock,33,2021-01-26
contemporary country,12,2021-01-27
dance pop,41,2021-01-27
hip hop,13,2021-01-27
latin,23,2021-01-27
modern rock,21,2021-01-27
pop,71,2021-01-27
pop rap,19,2021-01-27
post-teen pop,11,2021-01-27
rap,40,2021-01-27
rock,41,2021-01-27
contemporary country,12,2021-01-28
dance pop,44,2021-01-28
hip hop,25,2021-01-28
latin,18,2021-01-28
modern rock,23,2021-01-28
pop,87,2021-01-28
pop rap,29,2021-01-28
post-teen pop,15,2021-01-28
rap,34,2021-01-28
rock,24,2021-01-28
contemporary country,20,2021-01-29
dance pop,53,2021-01-29
hip hop,14,2021-01-29
latin,22,2021-01-29
modern rock,15,2021-01-29
pop,88,2021-01-29
pop rap,20,2021-01-29
post-teen pop,19,2021-01-29
rap,24,2021-01-29
rock,33,2021-01-29
contemporary country,15,2021-01-30
dance pop,48,2021-01-30
hip hop,21,2021-01-30
latin,16,2021-01-30
modern rock,20,2021-01-30
pop,85,2021-01-30
pop rap,22,2021-01-30
post-teen pop,18,2021-01-30
rap,28,2021-01-30
rock,26,2021-01-30
contemporary country,19,2021-01-31
dance pop,40,2021-01-31
hip hop,26,2021-01-31
latin,18,2021-01-31
modern rock,20,2021-01-31
pop,90,2021-01-31
pop rap,21,2021-01-31
post-teen pop,15,2021-01-31
rap,25,2021-01-31
rock,43,2021-01-31
contemporary country,18,2021-02-01
dance pop,47,2021-02-01
hip hop,17,2021-02-01
latin,18,2021-02-01
modern rock,16,2021-02-01
pop,68,2021-02-01
pop rap,21,2021-02-01
post-teen pop,16,2021-02-01
rap,26,2021-02-01
rock,37,2021-02-01
contemporary country,15,2021-02-02
dance pop,43,2021-02-02
hip hop,20,2021-02-02
latin,26,2021-02-02
modern rock,25,2021-02-02
pop,78,2021-02-02
pop rap,22,2021-02-02
post-teen pop,16,2021-02-02
rap,28,2021-02-02
rock,38,2021-02-02
contemporary country,18,2021-02-03
dance pop,46,2021-02-03
hip hop,12,2021-02-03
latin,18,2021-02-03
modern rock,16,2021-02-03
pop,70,2021-02-03
pop rap,17,2021-02-03
post-teen pop,17,2021-02-03
rap,28,2021-02-03
rock,31,2021-02-03
contemporary country,27,2021-02-04
dance pop,49,2021-02-04
hip hop,14,2021-02-04
latin,20,2021-02-04
modern rock,23,2021-02-04
pop,84,2021-02-04
pop rap,30,2021-02-04
