scorecore,1,2021-01-01
sertanejo,4,2021-01-01
sertanejo pop,3,2021-01-01
sertanejo universitario,2,2021-01-01
shiver pop,1,2021-01-01
singer-songwriter,4,2021-01-01
slap house,1,2021-01-01
smooth jazz,1,2021-01-01
soft rock,7,2021-01-01
soundtrack,3,2021-01-01
southern hip hop,6,2021-01-01
spanish pop,2,2021-01-01
speedrun,3,2021-01-01
sunshine pop,1,2021-01-01
supergroup,1,2021-01-01
swedish electropop,2,2021-01-01
swedish pop,2,2021-01-01
synthpop,1,2021-01-01
taiwan pop,2,2021-01-01
talent show,5,2021-01-01
toronto rap,2,2021-01-01
trap,12,2021-01-01
trap argentino,2,2021-01-01
trap carioca,1,2021-01-01
trap latino,6,2021-01-01
trap queen,3,2021-01-01
tropical,1,2021-01-01
tropical house,5,2021-01-01
uk americana,1,2021-01-01
uk hip hop,1,2021-01-01
uk pop,2,2021-01-01
underground hip hop,10,2021-01-01
urban contemporary,4,2021-01-01
urbano espanol,1,2021-01-01
video game music,1,2021-01-01
viral pop,3,2021-01-01
vocal jazz,1,2021-01-01
world worship,4,2021-01-01
worship,2,2021-01-01
yacht rock,5,2021-01-01
a cappella,2,2021-01-02
adult standards,3,2021-01-02
album rock,10,2021-01-02
alternative dance,1,2021-01-02
alternative hip hop,8,2021-01-02
alternative metal,9,2021-01-02
alternative r&b,2,2021-01-02
alternative rock,4,2021-01-02
anime,1,2021-01-02
anime rock,2,2021-01-02
art pop,1,2021-01-02
art rock,1,2021-01-02
atl hip hop,2,2021-01-02
australian indie folk,1,2021-01-02
australian pop,2,2021-01-02
austro-german modernism,1,2021-01-02
bachata,4,2021-01-02
banda,4,2021-01-02
barbadian pop,1,2021-01-02
baroque pop,2,2021-01-02
beatlesque,1,2021-01-02
big room,1,2021-01-02
birmingham metal,3,2021-01-02
blues rock,2,2021-01-02
bolero,2,2021-01-02
boston hip hop,1,2021-01-02
boston rock,1,2021-01-02
boy band,3,2021-01-02
brazilian reggae,1,2021-01-02
british invasion,2,2021-01-02
britpop,1,2021-01-02
brooklyn drill,1,2021-01-02
bubblegrunge,1,2021-01-02
canadian contemporary r&b,4,2021-01-02
canadian hip hop,2,2021-01-02
canadian pop,10,2021-01-02
canadian punk,1,2021-01-02
cancion melodica,2,2021-01-02
ccm,3,2021-01-02
chamber pop,3,2021-01-02
chicago punk,1,2021-01-02
chicago rap,1,2021-01-02
chillwave,1,2021-01-02
christian alternative rock,1,2021-01-02
